time_iso8601,stars_cumulative
2025-02-14 00:00:00+00:00,726
2025-02-17 00:00:00+00:00,727
2025-02-18 00:00:00+00:00,729
2025-02-19 00:00:00+00:00,730
2025-02-28 00:00:00+00:00,732
2025-03-04 00:00:00+00:00,733
2025-03-06 00:00:00+00:00,734
2025-03-10 00:00:00+00:00,735
2025-03-19 00:00:00+00:00,737
2025-03-24 00:00:00+00:00,740
2025-03-25 00:00:00+00:00,741
2025-03-26 00:00:00+00:00,743
2025-03-31 00:00:00+00:00,744
2025-04-01 00:00:00+00:00,745
2025-04-03 00:00:00+00:00,748
2025-04-11 00:00:00+00:00,750
2025-04-14 00:00:00+00:00,751
2025-04-16 00:00:00+00:00,752
2025-04-21 00:00:00+00:00,753
2025-04-22 00:00:00+00:00,754
2025-04-23 00:00:00+00:00,755
2025-04-25 00:00:00+00:00,757
2025-04-29 00:00:00+00:00,758
2025-05-01 00:00:00+00:00,759
2025-05-02 00:00:00+00:00,760
2025-05-03 00:00:00+00:00,761
2025-05-07 00:00:00+00:00,762
2025-05-09 00:00:00+00:00,764
2025-05-12 00:00:00+00:00,765
2025-05-13 00:00:00+00:00,767
2025-05-14 00:00:00+00:00,768
2025-05-15 00:00:00+00:00,770
2025-05-17 00:00:00+00:00,771
2025-05-18 00:00:00+00:00,773
2025-05-20 00:00:00+00:00,774
2025-05-21 00:00:00+00:00,776
2025-05-23 00:00:00+00:00,777
2025-05-25 00:00:00+00:00,778
2025-05-26 00:00:00+00:00,780
2025-05-29 00:00:00+00:00,781
2025-05-30 00:00:00+00:00,784
2025-05-31 00:00:00+00:00,785
2025-06-03 00:00:00+00:00,786
2025-06-04 00:00:00+00:00,787
2025-06-09 00:00:00+00:00,788
2025-06-10 00:00:00+00:00,789
2025-06-11 00:00:00+00:00,790
2025-06-12 00:00:00+00:00,792
2025-06-13 00:00:00+00:00,793
2025-06-14 00:00:00+00:00,794
2025-06-16 00:00:00+00:00,795
2025-06-20 00:00:00+00:00,796
2025-06-24 00:00:00+00:00,797
2025-06-25 00:00:00+00:00,798
2025-06-26 00:00:00+00:00,799
2025-06-29 00:00:00+00:00,800
2025-07-01 00:00:00+00:00,801
2025-07-02 00:00:00+00:00,803
2025-07-04 00:00:00+00:00,805
2025-07-05 00:00:00+00:00,807
2025-07-09 00:00:00+00:00,809
2025-07-11 00:00:00+00:00,810
2025-07-15 00:00:00+00:00,811
2025-07-17 00:00:00+00:00,813
2025-07-22 00:00:00+00:00,815
2025-07-24 00:00:00+00:00,816
2025-07-25 00:00:00+00:00,817
2025-07-27 00:00:00+00:00,818
2025-07-29 00:00:00+00:00,819
2025-07-30 00:00:00+00:00,820
2025-07-31 00:00:00+00:00,821
2025-08-02 00:00:00+00:00,822
2025-08-04 00:00:00+00:00,823
2025-08-12 00:00:00+00:00,824
2025-08-14 00:00:00+00:00,826
2025-08-18 00:00:00+00:00,827
2025-08-19 00:00:00+00:00,829
2025-08-28 00:00:00+00:00,830
2025-08-31 00:00:00+00:00,831
2025-09-01 00:00:00+00:00,833
2025-09-04 00:00:00+00:00,834
2025-09-06 00:00:00+00:00,835
2025-09-09 00:00:00+00:00,837
2025-09-10 00:00:00+00:00,838
2025-09-11 00:00:00+00:00,839
2025-09-21 00:00:00+00:00,840
2025-09-22 00:00:00+00:00,841
2025-10-06 00:00:00+00:00,843
2025-10-07 00:00:00+00:00,844
2025-10-10 00:00:00+00:00,847
2025-10-12 00:00:00+00:00,848
2025-10-19 00:00:00+00:00,849
2025-10-20 00:00:00+00:00,850
2025-10-22 00:00:00+00:00,851
